"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
"GEO-Cloud_002-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,1539.193,10 Aug 2014 16:55:39.193,2090.583,10 Aug 2014 17:04:50.583,551.390
2,39234.199,11 Aug 2014 03:23:54.199,39660.392,11 Aug 2014 03:31:00.392,426.193
3,44941.778,11 Aug 2014 04:59:01.778,45557.005,11 Aug 2014 05:09:17.005,615.227
4,83753.408,11 Aug 2014 15:45:53.408,84389.939,11 Aug 2014 15:56:29.939,636.531

"GEO-Cloud_002-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,840.179,10 Aug 2014 16:44:00.179,978.677,10 Aug 2014 16:46:18.677,138.498
2,34060.916,11 Aug 2014 01:57:40.916,34696.055,11 Aug 2014 02:08:16.055,635.139
3,39970.242,11 Aug 2014 03:36:10.242,40417.029,11 Aug 2014 03:43:37.029,446.787
4,77153.432,11 Aug 2014 13:55:53.432,77629.428,11 Aug 2014 14:03:49.428,475.997
5,82890.061,11 Aug 2014 15:31:30.061,83517.403,11 Aug 2014 15:41:57.403,627.342

"GEO-Cloud_002-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,3999.268,10 Aug 2014 17:36:39.268,4214.152,10 Aug 2014 17:40:14.152,214.885
2,9598.957,10 Aug 2014 19:09:58.957,10251.051,10 Aug 2014 19:20:51.051,652.094
3,48644.666,11 Aug 2014 06:00:44.666,49270.601,11 Aug 2014 06:11:10.601,625.935
4,54549.433,11 Aug 2014 07:39:09.433,54982.932,11 Aug 2014 07:46:22.932,433.499

"GEO-Cloud_002-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,3259.784,10 Aug 2014 17:24:19.784,3825.194,10 Aug 2014 17:33:45.194,565.410
2,31598.592,11 Aug 2014 01:16:38.592,32118.362,11 Aug 2014 01:25:18.362,519.770
3,37301.900,11 Aug 2014 02:51:41.900,37965.712,11 Aug 2014 03:02:45.712,663.812
4,43267.387,11 Aug 2014 04:31:07.387,43704.316,11 Aug 2014 04:38:24.316,436.929
5,79724.521,11 Aug 2014 14:38:44.521,80223.648,11 Aug 2014 14:47:03.648,499.127
6,85484.811,11 Aug 2014 16:14:44.811,86147.654,11 Aug 2014 16:25:47.654,662.843

"GEO-Cloud_002-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,33436.029,11 Aug 2014 01:47:16.029,34085.276,11 Aug 2014 01:58:05.276,649.247
2,77629.101,11 Aug 2014 14:03:49.101,78278.899,11 Aug 2014 14:14:38.899,649.798

"GEO-Cloud_002-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,10558.962,10 Aug 2014 19:25:58.962,11096.816,10 Aug 2014 19:34:56.816,537.854
2,16329.466,10 Aug 2014 21:02:09.466,16912.124,10 Aug 2014 21:11:52.124,582.658
3,53885.225,11 Aug 2014 07:28:05.225,54127.270,11 Aug 2014 07:32:07.270,242.044
4,59499.488,11 Aug 2014 09:01:39.488,60149.801,11 Aug 2014 09:12:29.801,650.313

"GEO-Cloud_002-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,36635.685,11 Aug 2014 02:40:35.685,37104.119,11 Aug 2014 02:48:24.119,468.434
2,42369.299,11 Aug 2014 04:16:09.299,42950.071,11 Aug 2014 04:25:50.071,580.772
3,80541.354,11 Aug 2014 14:52:21.354,81071.918,11 Aug 2014 15:01:11.918,530.564
4,86329.465,11 Aug 2014 16:28:49.465,86400.000,11 Aug 2014 16:30:00.000,70.535

"GEO-Cloud_002-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,2081.282,10 Aug 2014 17:04:41.282,2740.831,10 Aug 2014 17:15:40.831,659.549
2,8093.495,10 Aug 2014 18:44:53.495,8455.245,10 Aug 2014 18:50:55.245,361.750
3,44454.590,11 Aug 2014 04:50:54.590,45001.152,11 Aug 2014 05:00:01.152,546.562
4,50232.646,11 Aug 2014 06:27:12.646,50891.454,11 Aug 2014 06:38:11.454,658.808
5,56096.525,11 Aug 2014 08:04:56.525,56546.466,11 Aug 2014 08:12:26.466,449.942
6,78803.723,11 Aug 2014 14:23:23.723,79069.016,11 Aug 2014 14:27:49.016,265.294
7,84359.488,11 Aug 2014 15:55:59.488,84981.288,11 Aug 2014 16:06:21.288,621.800

"GEO-Cloud_002-To-Puertollano - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,21177.962,10 Aug 2014 22:22:57.962,21782.850,10 Aug 2014 22:33:02.850,604.888
2,26990.486,10 Aug 2014 23:59:50.486,27567.234,11 Aug 2014 00:09:27.234,576.748
3,60667.607,11 Aug 2014 09:21:07.607,61234.980,11 Aug 2014 09:30:34.980,567.373
4,66441.317,11 Aug 2014 10:57:21.317,67053.672,11 Aug 2014 11:07:33.672,612.355

"GEO-Cloud_002-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,2946.097,10 Aug 2014 17:19:06.097,3270.361,10 Aug 2014 17:24:30.361,324.264
2,8805.421,10 Aug 2014 18:56:45.421,9282.132,10 Aug 2014 19:04:42.132,476.711
3,14652.471,10 Aug 2014 20:34:12.471,15242.023,10 Aug 2014 20:44:02.023,589.552
4,20490.505,10 Aug 2014 22:11:30.505,21141.138,10 Aug 2014 22:22:21.138,650.632
5,26317.888,10 Aug 2014 23:48:37.888,26986.615,10 Aug 2014 23:59:46.615,668.728
6,32131.753,11 Aug 2014 01:25:31.753,32794.711,11 Aug 2014 01:36:34.711,662.959
7,37931.182,11 Aug 2014 03:02:11.182,38586.483,11 Aug 2014 03:13:06.483,655.300
8,43722.199,11 Aug 2014 04:38:42.199,44380.968,11 Aug 2014 04:49:40.968,658.769
9,49520.607,11 Aug 2014 06:15:20.607,50188.449,11 Aug 2014 06:26:28.449,667.842
10,55347.594,11 Aug 2014 07:52:27.594,56010.343,11 Aug 2014 08:03:30.343,662.749
11,61222.096,11 Aug 2014 09:30:22.096,61844.109,11 Aug 2014 09:40:44.109,622.013
12,67155.707,11 Aug 2014 11:09:15.707,67687.301,11 Aug 2014 11:18:07.301,531.594
13,73147.827,11 Aug 2014 12:49:07.827,73540.265,11 Aug 2014 12:55:40.265,392.438
14,79172.101,11 Aug 2014 14:29:32.101,79415.062,11 Aug 2014 14:33:35.062,242.961
15,85140.858,11 Aug 2014 16:09:00.858,85368.268,11 Aug 2014 16:12:48.268,227.409

"GEO-Cloud_002-To-Sydney - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,24359.030,10 Aug 2014 23:15:59.030,24661.599,10 Aug 2014 23:21:01.599,302.569
2,30011.049,11 Aug 2014 00:50:11.049,30667.120,11 Aug 2014 01:01:07.120,656.072
3,69308.424,11 Aug 2014 11:45:08.424,69961.267,11 Aug 2014 11:56:01.267,652.843
4,75283.897,11 Aug 2014 13:24:43.897,75637.277,11 Aug 2014 13:30:37.277,353.380

"GEO-Cloud_002-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,0.000,10 Aug 2014 16:30:00.000,350.656,10 Aug 2014 16:35:50.656,350.656
2,5510.677,10 Aug 2014 18:01:50.677,6120.862,10 Aug 2014 18:12:00.862,610.185
3,11264.779,10 Aug 2014 19:37:44.779,11920.317,10 Aug 2014 19:48:40.317,655.538
4,17074.076,10 Aug 2014 21:14:34.076,17736.605,10 Aug 2014 21:25:36.605,662.529
5,22971.634,10 Aug 2014 22:52:51.634,23555.961,10 Aug 2014 23:02:35.961,584.328
6,28995.577,11 Aug 2014 00:33:15.577,29352.812,11 Aug 2014 00:39:12.812,357.235
7,53135.615,11 Aug 2014 07:15:35.615,53150.367,11 Aug 2014 07:15:50.367,14.752
8,58828.947,11 Aug 2014 08:50:28.947,59329.834,11 Aug 2014 08:58:49.834,500.887
9,64643.111,11 Aug 2014 10:27:23.111,65281.426,11 Aug 2014 10:38:01.426,638.314
10,70462.696,11 Aug 2014 12:04:22.696,71129.440,11 Aug 2014 12:15:29.440,666.744
11,76271.970,11 Aug 2014 13:41:11.970,76905.442,11 Aug 2014 13:51:45.442,633.472
12,82057.409,11 Aug 2014 15:17:37.409,82646.965,11 Aug 2014 15:27:26.965,589.556

"GEO-Cloud_003-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,1184.340,10 Aug 2014 16:49:44.340,1761.623,10 Aug 2014 16:59:21.623,577.283
2,38921.418,11 Aug 2014 03:18:41.418,39288.317,11 Aug 2014 03:24:48.317,366.899
3,44594.864,11 Aug 2014 04:53:14.864,45224.115,11 Aug 2014 05:03:44.115,629.251
4,83419.427,11 Aug 2014 15:40:19.427,84043.869,11 Aug 2014 15:50:43.869,624.441

