"GEO-Cloud_007-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,81172.143,11 Aug 2014 15:02:52.143,81830.685,11 Aug 2014 15:13:50.685,658.542


"GEO-Cloud_007-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,83777.575,11 Aug 2014 15:46:17.575,84434.633,11 Aug 2014 15:57:14.633,657.058

"GEO-Cloud_007-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,81955.480,11 Aug 2014 15:15:55.480,82133.184,11 Aug 2014 15:18:53.184,177.704


"GEO-Cloud_007-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
2,78991.597,11 Aug 2014 14:26:31.597,79216.207,11 Aug 2014 14:30:16.207,224.610
3,84576.773,11 Aug 2014 15:59:36.773,84999.400,11 Aug 2014 16:06:39.400,422.627

"GEO-Cloud_007-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82695.033,11 Aug 2014 15:28:15.033,83257.743,11 Aug 2014 15:37:37.743,562.710


"GEO-Cloud_007-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,83397.381,11 Aug 2014 15:39:57.381,83605.349,11 Aug 2014 15:43:25.349,207.968


"GEO-Cloud_007-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,80359.058,11 Aug 2014 14:49:19.058,80959.316,11 Aug 2014 14:59:19.316,600.258

"GEO-Cloud_008-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,81778.408,11 Aug 2014 15:12:58.408,82289.426,11 Aug 2014 15:21:29.426,511.018

"GEO-Cloud_008-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80831.037,11 Aug 2014 14:57:11.037,81489.261,11 Aug 2014 15:08:09.261,658.224


"GEO-Cloud_008-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,83437.014,11 Aug 2014 15:40:37.014,84089.432,11 Aug 2014 15:51:29.432,652.418

"GEO-Cloud_008-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,81554.586,11 Aug 2014 15:09:14.586,81852.454,11 Aug 2014 15:14:12.454,297.868


"GEO-Cloud_008-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
2,84231.574,11 Aug 2014 15:53:51.574,84877.722,11 Aug 2014 16:04:37.722,646.147

"GEO-Cloud_008-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82364.506,11 Aug 2014 15:22:44.506,82912.059,11 Aug 2014 15:31:52.059,547.553


"GEO-Cloud_008-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,83047.394,11 Aug 2014 15:34:07.394,83253.831,11 Aug 2014 15:37:33.831,206.437


"GEO-Cloud_008-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,80018.982,11 Aug 2014 14:43:38.982,80621.723,11 Aug 2014 14:53:41.723,602.742

"GEO-Cloud_009-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,81458.092,11 Aug 2014 15:07:38.092,81932.237,11 Aug 2014 15:15:32.237,474.145

